jan;Nowak;234234234;znajomi
Barbara;Lag;345345345;praca
Aleksander;Kwasniewski;456 456 456;rodzina
Alicja;Abe cede;567567567;praca
Harry;Potter;678678678;znajomi
marian;Kowalski;+48789789789;rodzina
Bogdan;Boner;666-765-2046;nie odbierac
Grazyna;Ruda;135 135 135;znajomi
gracjan;Roztocki;245245245;praca
Tytus;Bomba;-4820103070;nie odbierac
Obi Wan;Wankenobi;354354354;znajomi
Szymon;Szymanski;123456789;ZIOMKI
Luke;Skywalker;234234234;ZIOMKI
Ferdynand;Kiepski;135780987;AA
Darth;Vader;243546534;AA
Lucyfer;Diabel;+66066666666;AA
